n1	n1_description
10	"Agricultura, ganaderia caza y silvicultura y pesca"
11	Explotacion de minas y canteras
12	Industrias manufactureras
13	"Suministro de electricidad, gas, vapor y aire acondicionado"
14	"Distribucion de agua; alcantarillado, gestion de desechos y actividades de saneamiento"
15	Construccion
16	Comercio al por mayor y al por menor; reparacion vehiculos automotores y motocicletas
17	Transporte y almacenamiento
18	Actividades de alojamiento y servicio de comidas
19	Informacion y comunicacion
20	Actividades financieras y de seguros
21	Actividades inmobiliarias
22	"Actividades profesionales, cientificas y tecnicas"
23	Actividades y servicios administrativos y de apoyo
24	Administracion publica y defensa; planes de seguridad social de afiliacion obligatoria
25	Ensenanza
26	Actividades de atencion de la salud humana y de asistencia social
27	"Artes, entretenimiento y recreacion"
28	Otras actividades de servicios
29	Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio
30	Actividades de organizaciones y organos extraterritoriales
